node_id,label,name,unique_key,env_code,app_code,component_code,cluster_id,namespace,owner_team,lifecycle_status,health_status,risk_level,inspection_status,last_inspected_at,source_system,source_ref,attrs_json
node:cce-prod-01:worker-01,KubernetesNode,worker-01,cce-prod-01/worker-01,prod,,,cce-prod-01,,平台团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,nodes/worker-01,"{""node_ip"":""10.10.1.21"",""instance_type"":""c6.2xlarge"",""cpu_capacity"":""8"",""memory_capacity"":""32Gi"",""pod_capacity"":110,""kernel_version"":""5.15.0-1025-aws"",""kubelet_version"":""v1.29.3"",""node_status"":""Ready"",""cpu_usage_percent"":50,""memory_usage_percent"":56,""disk_usage_percent"":60,""conditions"":[{""type"":""MemoryPressure"",""status"":""False""},{""type"":""DiskPressure"",""status"":""False""},{""type"":""PIDPressure"",""status"":""False""}]}"
node:cce-prod-01:worker-02,KubernetesNode,worker-02,cce-prod-01/worker-02,prod,,,cce-prod-01,,平台团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,nodes/worker-02,"{""node_ip"":""10.10.1.22"",""instance_type"":""c6.2xlarge"",""cpu_capacity"":""8"",""memory_capacity"":""32Gi"",""pod_capacity"":110,""kernel_version"":""5.15.0-1025-aws"",""kubelet_version"":""v1.29.3"",""node_status"":""Ready"",""cpu_usage_percent"":41,""memory_usage_percent"":68,""disk_usage_percent"":46,""conditions"":[{""type"":""MemoryPressure"",""status"":""False""},{""type"":""DiskPressure"",""status"":""False""},{""type"":""PIDPressure"",""status"":""False""}]}"
node:cce-prod-01:worker-03,KubernetesNode,worker-03,cce-prod-01/worker-03,prod,,,cce-prod-01,,平台团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,nodes/worker-03,"{""node_ip"":""10.10.1.23"",""instance_type"":""c6.2xlarge"",""cpu_capacity"":""4"",""memory_capacity"":""16Gi"",""pod_capacity"":110,""kernel_version"":""5.15.0-1025-aws"",""kubelet_version"":""v1.29.3"",""node_status"":""Ready"",""cpu_usage_percent"":62,""memory_usage_percent"":55,""disk_usage_percent"":61,""conditions"":[{""type"":""MemoryPressure"",""status"":""False""},{""type"":""DiskPressure"",""status"":""False""},{""type"":""PIDPressure"",""status"":""False""}]}"
pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcde,Pod,order-api-6fd9c8b7c9-abcde,cce-prod-01/order/order-api-6fd9c8b7c9-abcde,prod,order,order-api,cce-prod-01,order,订单团队,active,warning,medium,failed,2026-06-15T10:00:00+08:00,Kubernetes,pods/order/order-api-6fd9c8b7c9-abcde,"{""pod_ip"":""10.244.1.23"",""host_ip"":""10.10.1.21"",""node_name"":""worker-01"",""phase"":""Running"",""ready"":true,""restart_count"":1,""owner_kind"":""ReplicaSet"",""owner_name"":""order-api-6fd9c8b7c9"",""cpu_usage_percent"":45.2,""memory_usage_percent"":62.8,""qps"":1250.0,""error_rate"":0.002,""metric_source"":""Prometheus"",""log_source"":""Loki"",""uid"":""6fd9c8b7c9abcde""}"
pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz,Pod,order-api-6fd9c8b7c9-abcdz,cce-prod-01/order/order-api-6fd9c8b7c9-abcdz,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,pods/order/order-api-6fd9c8b7c9-abcdz,"{""pod_ip"":""10.244.1.24"",""host_ip"":""10.10.1.21"",""node_name"":""worker-01"",""phase"":""Running"",""ready"":true,""restart_count"":0,""owner_kind"":""ReplicaSet"",""owner_name"":""order-api-6fd9c8b7c9"",""cpu_usage_percent"":32.1,""memory_usage_percent"":55.3,""qps"":1180.0,""error_rate"":0.001,""metric_source"":""Prometheus"",""log_source"":""Loki"",""uid"":""6fd9c8b7c9abcdz""}"
pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf,Pod,order-api-6fd9c8b7c9-abcdf,cce-prod-01/order/order-api-6fd9c8b7c9-abcdf,prod,order,order-api,cce-prod-01,order,订单团队,active,critical,high,failed,2026-06-15T10:00:00+08:00,Kubernetes,pods/order/order-api-6fd9c8b7c9-abcdf,"{""pod_ip"":""10.244.1.25"",""host_ip"":""10.10.1.22"",""node_name"":""worker-02"",""phase"":""Running"",""ready"":true,""restart_count"":3,""owner_kind"":""ReplicaSet"",""owner_name"":""order-api-6fd9c8b7c9"",""cpu_usage_percent"":86.5,""memory_usage_percent"":72.3,""qps"":1320.0,""error_rate"":0.072,""metric_source"":""Prometheus"",""log_source"":""Loki"",""uid"":""6fd9c8b7c9abcdf""}"
pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg,Pod,order-api-6fd9c8b7c9-abcdg,cce-prod-01/order/order-api-6fd9c8b7c9-abcdg,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,pods/order/order-api-6fd9c8b7c9-abcdg,"{""pod_ip"":""10.244.1.26"",""host_ip"":""10.10.1.22"",""node_name"":""worker-02"",""phase"":""Running"",""ready"":true,""restart_count"":0,""owner_kind"":""ReplicaSet"",""owner_name"":""order-api-6fd9c8b7c9"",""cpu_usage_percent"":28.7,""memory_usage_percent"":48.1,""qps"":1010.0,""error_rate"":0.001,""metric_source"":""Prometheus"",""log_source"":""Loki"",""uid"":""6fd9c8b7c9abcdg""}"
pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh,Pod,order-api-6fd9c8b7c9-abcdh,cce-prod-01/order/order-api-6fd9c8b7c9-abcdh,prod,order,order-api,cce-prod-01,order,订单团队,active,warning,medium,failed,2026-06-15T10:00:00+08:00,Kubernetes,pods/order/order-api-6fd9c8b7c9-abcdh,"{""pod_ip"":""10.244.1.27"",""host_ip"":""10.10.1.22"",""node_name"":""worker-02"",""phase"":""Running"",""ready"":true,""restart_count"":1,""owner_kind"":""ReplicaSet"",""owner_name"":""order-api-6fd9c8b7c9"",""cpu_usage_percent"":51.3,""memory_usage_percent"":66.9,""qps"":1190.0,""error_rate"":0.003,""metric_source"":""Prometheus"",""log_source"":""Loki"",""uid"":""6fd9c8b7c9abcdh""}"
pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi,Pod,order-api-6fd9c8b7c9-abcdi,cce-prod-01/order/order-api-6fd9c8b7c9-abcdi,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,pods/order/order-api-6fd9c8b7c9-abcdi,"{""pod_ip"":""10.244.1.28"",""host_ip"":""10.10.1.23"",""node_name"":""worker-03"",""phase"":""Running"",""ready"":true,""restart_count"":0,""owner_kind"":""ReplicaSet"",""owner_name"":""order-api-6fd9c8b7c9"",""cpu_usage_percent"":22.5,""memory_usage_percent"":40.2,""qps"":980.0,""error_rate"":0.001,""metric_source"":""Prometheus"",""log_source"":""Loki"",""uid"":""6fd9c8b7c9abcdi""}"
pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj,Pod,order-api-6fd9c8b7c9-abcdj,cce-prod-01/order/order-api-6fd9c8b7c9-abcdj,prod,order,order-api,cce-prod-01,order,订单团队,active,critical,high,failed,2026-06-15T10:00:00+08:00,Kubernetes,pods/order/order-api-6fd9c8b7c9-abcdj,"{""pod_ip"":""10.244.1.29"",""host_ip"":""10.10.1.23"",""node_name"":""worker-03"",""phase"":""Pending"",""ready"":false,""restart_count"":0,""owner_kind"":""ReplicaSet"",""owner_name"":""order-api-6fd9c8b7c9"",""cpu_usage_percent"":0,""memory_usage_percent"":0,""qps"":0,""error_rate"":0,""metric_source"":""Prometheus"",""log_source"":""Loki"",""uid"":""6fd9c8b7c9abcdj""}"
pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk,Pod,order-api-6fd9c8b7c9-abcdk,cce-prod-01/order/order-api-6fd9c8b7c9-abcdk,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,pods/order/order-api-6fd9c8b7c9-abcdk,"{""pod_ip"":""10.244.1.30"",""host_ip"":""10.10.1.23"",""node_name"":""worker-03"",""phase"":""Running"",""ready"":true,""restart_count"":0,""owner_kind"":""ReplicaSet"",""owner_name"":""order-api-6fd9c8b7c9"",""cpu_usage_percent"":35.6,""memory_usage_percent"":52.4,""qps"":1100.0,""error_rate"":0.002,""metric_source"":""Prometheus"",""log_source"":""Loki"",""uid"":""6fd9c8b7c9abcdk""}"
pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl,Pod,order-api-6fd9c8b7c9-abcdl,cce-prod-01/order/order-api-6fd9c8b7c9-abcdl,prod,order,order-api,cce-prod-01,order,订单团队,active,warning,medium,failed,2026-06-15T10:00:00+08:00,Kubernetes,pods/order/order-api-6fd9c8b7c9-abcdl,"{""pod_ip"":""10.244.1.31"",""host_ip"":""10.10.1.21"",""node_name"":""worker-01"",""phase"":""Running"",""ready"":true,""restart_count"":2,""owner_kind"":""ReplicaSet"",""owner_name"":""order-api-6fd9c8b7c9"",""cpu_usage_percent"":48.9,""memory_usage_percent"":58.7,""qps"":1210.0,""error_rate"":0.004,""metric_source"":""Prometheus"",""log_source"":""Loki"",""uid"":""6fd9c8b7c9abcdl""}"
container:cce-prod-01:order:order-api-6fd9c8b7c9-abcde:order-api,Container,order-api,cce-prod-01/order/order-api-6fd9c8b7c9-abcde/order-api,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,containers/order/order-api-6fd9c8b7c9-abcde/order-api,"{""image"":""registry.example.com/order/order-api:v1.2.3"",""image_digest"":""sha256:abc123def456"",""cpu_request"":""500m"",""memory_request"":""512Mi"",""cpu_limit"":""2000m"",""memory_limit"":""2048Mi"",""cpu_usage_percent"":45.2,""memory_usage_percent"":62.8,""restart_count"":1,""ready"":true,""ports"":""[8080]""}"
container:cce-prod-01:order:order-api-6fd9c8b7c9-abcdz:order-api,Container,order-api,cce-prod-01/order/order-api-6fd9c8b7c9-abcdz/order-api,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,containers/order/order-api-6fd9c8b7c9-abcdz/order-api,"{""image"":""registry.example.com/order/order-api:v1.2.3"",""image_digest"":""sha256:abc123def456"",""cpu_request"":""500m"",""memory_request"":""512Mi"",""cpu_limit"":""2000m"",""memory_limit"":""2048Mi"",""cpu_usage_percent"":32.1,""memory_usage_percent"":55.3,""restart_count"":0,""ready"":true,""ports"":""[8080]""}"
container:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf:order-api,Container,order-api,cce-prod-01/order/order-api-6fd9c8b7c9-abcdf/order-api,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,containers/order/order-api-6fd9c8b7c9-abcdf/order-api,"{""image"":""registry.example.com/order/order-api:v1.2.3"",""image_digest"":""sha256:abc123def456"",""cpu_request"":""500m"",""memory_request"":""512Mi"",""cpu_limit"":""2000m"",""memory_limit"":""2048Mi"",""cpu_usage_percent"":86.5,""memory_usage_percent"":72.3,""restart_count"":3,""ready"":true,""ports"":""[8080]""}"
container:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg:order-api,Container,order-api,cce-prod-01/order/order-api-6fd9c8b7c9-abcdg/order-api,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,containers/order/order-api-6fd9c8b7c9-abcdg/order-api,"{""image"":""registry.example.com/order/order-api:v1.2.3"",""image_digest"":""sha256:abc123def456"",""cpu_request"":""500m"",""memory_request"":""512Mi"",""cpu_limit"":""2000m"",""memory_limit"":""2048Mi"",""cpu_usage_percent"":28.7,""memory_usage_percent"":48.1,""restart_count"":0,""ready"":true,""ports"":""[8080]""}"
container:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh:order-api,Container,order-api,cce-prod-01/order/order-api-6fd9c8b7c9-abcdh/order-api,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,containers/order/order-api-6fd9c8b7c9-abcdh/order-api,"{""image"":""registry.example.com/order/order-api:v1.2.3"",""image_digest"":""sha256:abc123def456"",""cpu_request"":""500m"",""memory_request"":""512Mi"",""cpu_limit"":""2000m"",""memory_limit"":""2048Mi"",""cpu_usage_percent"":51.3,""memory_usage_percent"":66.9,""restart_count"":1,""ready"":true,""ports"":""[8080]""}"
container:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi:order-api,Container,order-api,cce-prod-01/order/order-api-6fd9c8b7c9-abcdi/order-api,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,containers/order/order-api-6fd9c8b7c9-abcdi/order-api,"{""image"":""registry.example.com/order/order-api:v1.2.3"",""image_digest"":""sha256:abc123def456"",""cpu_request"":""500m"",""memory_request"":""512Mi"",""cpu_limit"":""2000m"",""memory_limit"":""2048Mi"",""cpu_usage_percent"":22.5,""memory_usage_percent"":40.2,""restart_count"":0,""ready"":true,""ports"":""[8080]""}"
container:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj:order-api,Container,order-api,cce-prod-01/order/order-api-6fd9c8b7c9-abcdj/order-api,prod,order,order-api,cce-prod-01,order,订单团队,active,critical,high,failed,2026-06-15T10:00:00+08:00,Kubernetes,containers/order/order-api-6fd9c8b7c9-abcdj/order-api,"{""image"":""registry.example.com/order/order-api:v1.2.3"",""image_digest"":""sha256:abc123def456"",""cpu_request"":""500m"",""memory_request"":""512Mi"",""cpu_limit"":""2000m"",""memory_limit"":""2048Mi"",""cpu_usage_percent"":0,""memory_usage_percent"":0,""restart_count"":0,""ready"":false,""ports"":""[8080]""}"
container:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk:order-api,Container,order-api,cce-prod-01/order/order-api-6fd9c8b7c9-abcdk/order-api,prod,order,order-api,cce-prod-01,order,订单团队,active,normal,low,passed,2026-06-15T10:00:00+08:00,Kubernetes,containers/order/order-api-6fd9c8b7c9-abcdk/order-api,"{""image"":""registry.example.com/order/order-api:v1.2.3"",""image_digest"":""sha256:abc123def456"",""cpu_request"":""500m"",""memory_request"":""512Mi"",""cpu_limit"":""2000m"",""memory_limit"":""2048Mi"",""cpu_usage_percent"":35.6,""memory_usage_percent"":52.4,""restart_count"":0,""ready"":true,""ports"":""[8080]""}"
